zipcode,risk,count,area_mile2
11212,high,4700,1.5453709355202796
11212,low,645,1.5453709355202796
11212,medium,2107,1.5453709355202796
11213,high,5277,1.077876274862781
11213,low,345,1.077876274862781
11213,medium,220,1.077876274862781
11214,high,7835,2.024257644584524
11214,low,768,2.024257644584524
11214,medium,3526,2.024257644584524
11215,high,8554,2.188601552466891
11215,low,411,2.188601552466891
11215,medium,269,2.188601552466891
11216,high,5523,0.9601268875035279
11216,low,459,0.9601268875035279
11216,medium,135,0.9601268875035279
11217,high,3534,0.736950057078291
11217,low,288,0.736950057078291
11217,medium,152,0.736950057078291
11218,high,7764,1.3619411541885957
11218,low,326,1.3619411541885957
11218,medium,433,1.3619411541885957
11219,high,7624,1.4924129180640897
11219,low,1030,1.4924129180640897
11219,medium,1543,1.4924129180640897
11220,high,9133,1.7279354856264046
11220,low,317,1.7279354856264046
11220,medium,620,1.7279354856264046
11221,high,7152,1.3809193252803122
11221,low,1734,1.3809193252803122
11221,medium,233,1.3809193252803122
11222,high,4804,1.522368972620997
11222,low,433,1.522368972620997
11222,medium,392,1.522368972620997
11223,high,10848,2.0699636791178193
11223,low,689,2.0699636791178193
11223,medium,1980,2.0699636791178193
11224,high,1461,1.5510835250433066
11224,low,654,1.5510835250433066
11224,medium,1147,1.5510835250433066
11225,high,4308,0.8748377688016926
11225,low,271,0.8748377688016926
11225,medium,92,0.8748377688016926
11226,high,5819,1.3026216651319362
11226,low,362,1.3026216651319362
11226,medium,200,1.3026216651319362
11228,high,9670,1.4972117812511454
11228,low,275,1.4972117812511454
11228,medium,1613,1.4972117812511454
11229,high,11758,2.007447653807814
11229,low,436,2.007447653807814
11229,medium,3669,2.007447653807814
11230,high,9779,1.842908569450604
11230,low,456,1.842908569450604
11230,medium,681,1.842908569450604
11231,high,4105,1.4249403996951162
11231,low,343,1.4249403996951162
11231,medium,370,1.4249403996951162
11232,high,2574,1.2414393008037985
11232,low,289,1.2414393008037985
11232,medium,393,1.2414393008037985
11233,high,6388,1.3489375529375984
11233,low,1378,1.3489375529375984
11233,medium,170,1.3489375529375984
11234,high,14011,7.384038815634668
11234,low,1046,7.384038815634668
11234,medium,9940,7.384038815634668
11235,high,5477,2.4571108440358422
11235,low,706,2.4571108440358422
11235,medium,3320,2.4571108440358422
11236,high,4952,3.5642662076858915
11236,low,756,3.5642662076858915
11236,medium,10841,3.5642662076858915
11237,high,3827,0.9964029168853694
11237,low,371,0.9964029168853694
11237,medium,336,0.9964029168853694
11238,high,4051,1.8490514129838214
11238,low,609,1.8490514129838214
11238,medium,179,1.8490514129838214
11239,high,50,1.7174239921277303
11239,low,618,1.7174239921277303
11239,medium,46,1.7174239921277303
11241,high,1,
11249,high,1037,0.7147066220694834
11249,low,494,0.7147066220694834
11249,medium,247,0.7147066220694834
11251,low,14,
11251,medium,100,
11354,high,2669,2.1516590144205168
11354,low,644,2.1516590144205168
11354,medium,3136,2.1516590144205168
11355,high,3621,1.7166255392500973
11355,low,1158,1.7166255392500973
11355,medium,4134,1.7166255392500973
11356,high,3237,1.581486933900623
11356,low,1054,1.581486933900623
11356,medium,1908,1.581486933900623
11357,high,4007,2.834543257273642
11357,low,1220,2.834543257273642
11357,medium,9209,2.834543257273642
11358,high,6702,1.9566733214841145
11358,low,704,1.9566733214841145
11358,medium,5624,1.9566733214841145
11359,high,6,
11359,low,92,
11359,medium,1,
11360,high,381,1.3757625050224642
11360,low,221,1.3757625050224642
11360,medium,3286,1.3757625050224642
11361,high,4018,1.7135164375802874
11361,low,703,1.7135164375802874
11361,medium,4211,1.7135164375802874
11362,high,1202,2.076872548217936
11362,low,457,2.076872548217936
11362,medium,4050,2.076872548217936
